City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,mama,58.31,112.9,52.84,85,100,3.44,RU,1595255961
376,sayansk,54.11,102.16,52.18,72,54,2.89,RU,1595255961
378,westport,-41.75,171.6,55.62,89,100,24.14,NZ,1595255962
380,edeia,-17.34,-49.93,81.68,33,0,11.52,BR,1595255962
381,payson,40.04,-111.73,73.0,40,1,2.98,US,1595255743
382,bontang,0.13,117.5,78.71,85,59,6.35,ID,1595255857
383,lavrentiya,65.58,-171.0,43.54,81,89,8.66,RU,1595255962
384,vangaindrano,-23.35,47.6,65.95,63,74,3.65,MG,1595255962
385,saharsa,25.88,86.6,78.01,94,100,6.73,IN,1595255962
386,beidao,34.57,105.89,67.86,69,100,5.57,CN,1595255962
387,port-gentil,-0.72,8.78,82.4,65,40,8.79,GA,1595255963
388,saint-pierre,46.77,-56.17,59.0,100,90,4.7,PM,1595255848
391,barentu,15.11,37.59,78.26,64,94,9.57,ER,1595255963
392,altamira,-3.2,-52.21,89.4,45,13,3.85,BR,1595255963
393,kloulklubed,7.04,134.26,77.0,94,75,3.36,PW,1595255963
394,qandala,11.47,49.87,89.47,54,84,3.27,SO,1595255964
395,sorsk,54.0,90.25,60.49,75,87,2.86,RU,1595255964
396,portland,-38.33,141.6,50.88,73,70,6.55,AU,1595255964
397,thinadhoo,0.53,72.93,84.24,77,100,15.84,MV,1595255821
398,macia,-25.03,33.1,67.21,69,36,4.56,MZ,1595255964
399,karachi,24.91,67.08,89.6,62,75,18.34,PK,1595255687
401,quzhou,28.96,118.87,78.26,85,94,0.6,CN,1595255964
402,omsukchan,62.53,155.8,49.66,77,0,3.89,RU,1595255965
403,nabire,-3.37,135.48,75.65,88,76,3.89,ID,1595255965
404,jumla,29.27,82.18,61.14,71,85,2.06,NP,1595255965
405,lokosovo,61.13,74.82,61.48,61,36,11.01,RU,1595255965
406,altay,47.87,88.12,70.72,51,100,3.91,CN,1595255965
409,shenjiamen,29.96,122.3,77.81,93,100,12.48,CN,1595255965
410,turochak,52.26,87.12,65.7,77,73,2.26,RU,1595255965
411,los llanos de aridane,28.66,-17.92,78.8,65,20,17.22,ES,1595255966
412,olafsvik,64.89,-23.71,50.59,69,14,2.84,IS,1595255966
413,xining,36.62,101.77,59.31,61,72,2.33,CN,1595255966
414,mackay,-21.15,149.2,53.6,93,78,5.82,AU,1595255966
415,lorengau,-2.02,147.27,82.15,75,73,6.8,PG,1595255966
416,yueyang,29.33,113.09,75.72,89,100,4.88,CN,1595255966
417,toora-khem,52.47,96.11,59.04,59,0,2.33,RU,1595255966
418,garmsar,35.22,52.34,99.72,10,0,5.95,IR,1595255967
